program_row_id,canonical_title,canonical_slug,canonical_url,cluster,pillar,search_intent,funnel_stage,source_preservation_classification,source_route_live,pillar_url,pillar_route_evidence,pillar_link_status,sibling_target_program_row_id,sibling_target_title,sibling_url,sibling_relationship,sibling_target_source_preservation_classification,sibling_target_route_live,sibling_link_status,primary_cta_url,primary_cta_label,primary_cta_name,primary_cta_placement_code,primary_cta_placement_guidance,primary_cta_assignment_rule,primary_cta_assignment_basis,primary_cta_approved_route_evidence,primary_cta_role,primary_cta_is_appointment,primary_cta_status,appointment_cta_url,appointment_cta_label,appointment_cta_name,appointment_cta_placement_code,appointment_cta_placement_guidance,appointment_cta_assignment_rule,appointment_cta_assignment_basis,appointment_cta_approved_route_evidence,appointment_cta_role,appointment_cta_distinct_from_primary,appointment_cta_status,triangle_plan_status,primary_cta_plan_status,appointment_cta_plan_status,rendered_status,rendered_triangle_verified,live_status,live_triangle_verified,release_status,numerical_release_cap_applies
MRX1000-0011,Avoiding Surprises: Understanding Hidden Costs During Your Mineral Rights Review Process,avoiding-surprises-understanding-hidden-costs-during-your-mineral-rights-review-process,/blog/avoiding-surprises-understanding-hidden-costs-during-your-mineral-rights-review-process/,sell-mineral-rights-decision-process,sell-mineral-rights,transactional,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0012,Calculate the True Value of Texas Mineral Rights,/blog/calculate-the-true-value-of-texas-mineral-rights/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0012,Calculate the True Value of Texas Mineral Rights,calculate-the-true-value-of-texas-mineral-rights,/blog/calculate-the-true-value-of-texas-mineral-rights/,sell-mineral-rights-decision-process,sell-mineral-rights,transactional,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0013,Cash For Mineral Rights: Checklist Before You Sell,/blog/cash-for-mineral-rights-checklist-before-you-sell/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0013,Cash For Mineral Rights: Checklist Before You Sell,cash-for-mineral-rights-checklist-before-you-sell,/blog/cash-for-mineral-rights-checklist-before-you-sell/,sell-mineral-rights-decision-process,sell-mineral-rights,basin-market,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0014,Cash For Mineral Rights: Checklist For Mineral Owners,/blog/cash-for-mineral-rights-checklist-for-mineral-owners/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:basin-market,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:basin-market,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0014,Cash For Mineral Rights: Checklist For Mineral Owners,cash-for-mineral-rights-checklist-for-mineral-owners,/blog/cash-for-mineral-rights-checklist-for-mineral-owners/,sell-mineral-rights-decision-process,sell-mineral-rights,valuation,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0015,Cash For Mineral Rights: Due Diligence For First-Time Sellers,/blog/cash-for-mineral-rights-due-diligence-for-first-time-sellers/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:valuation,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:valuation,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0015,Cash For Mineral Rights: Due Diligence For First-Time Sellers,cash-for-mineral-rights-due-diligence-for-first-time-sellers,/blog/cash-for-mineral-rights-due-diligence-for-first-time-sellers/,sell-mineral-rights-decision-process,sell-mineral-rights,royalty-income,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0016,Cash For Mineral Rights: Family Decision Guide In 2026,/blog/cash-for-mineral-rights-family-decision-guide-in-2026/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:royalty-income,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:royalty-income,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0016,Cash For Mineral Rights: Family Decision Guide In 2026,cash-for-mineral-rights-family-decision-guide-in-2026,/blog/cash-for-mineral-rights-family-decision-guide-in-2026/,sell-mineral-rights-decision-process,sell-mineral-rights,education,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0017,Cash For Mineral Rights: Family Decision Guide Step By Step,/blog/cash-for-mineral-rights-family-decision-guide-step-by-step/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:education,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:education,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0017,Cash For Mineral Rights: Family Decision Guide Step By Step,cash-for-mineral-rights-family-decision-guide-step-by-step,/blog/cash-for-mineral-rights-family-decision-guide-step-by-step/,sell-mineral-rights-decision-process,sell-mineral-rights,tax-planning,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0018,Cash For Mineral Rights: Faq Before You Sell,/blog/cash-for-mineral-rights-faq-before-you-sell/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:tax-planning,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:tax-planning,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0018,Cash For Mineral Rights: Faq Before You Sell,cash-for-mineral-rights-faq-before-you-sell,/blog/cash-for-mineral-rights-faq-before-you-sell/,sell-mineral-rights-decision-process,sell-mineral-rights,basin-market,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0019,Cash For Mineral Rights: Faq For First-Time Sellers,/blog/cash-for-mineral-rights-faq-for-first-time-sellers/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:basin-market,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:basin-market,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0019,Cash For Mineral Rights: Faq For First-Time Sellers,cash-for-mineral-rights-faq-for-first-time-sellers,/blog/cash-for-mineral-rights-faq-for-first-time-sellers/,sell-mineral-rights-decision-process,sell-mineral-rights,royalty-income,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0020,Cash For Mineral Rights: Guide Before You Sell,/blog/cash-for-mineral-rights-guide-before-you-sell/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:royalty-income,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:royalty-income,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0020,Cash For Mineral Rights: Guide Before You Sell,cash-for-mineral-rights-guide-before-you-sell,/blog/cash-for-mineral-rights-guide-before-you-sell/,sell-mineral-rights-decision-process,sell-mineral-rights,basin-market,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0021,Cash For Mineral Rights: Guide For Mineral Owners,/blog/cash-for-mineral-rights-guide-for-mineral-owners/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:basin-market,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:basin-market,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0021,Cash For Mineral Rights: Guide For Mineral Owners,cash-for-mineral-rights-guide-for-mineral-owners,/blog/cash-for-mineral-rights-guide-for-mineral-owners/,sell-mineral-rights-decision-process,sell-mineral-rights,valuation,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0022,Cash For Mineral Rights: Market Update For First-Time Sellers,/blog/cash-for-mineral-rights-market-update-for-first-time-sellers/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:valuation,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:valuation,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
