row,article_id,cluster_id,map_id,map_cluster,primary_keyword,canonical_title,canonical_slug,canonical_url,mdx_path,normalized_title,slug_unique,title_unique,nearest_same_cluster_slug,nearest_same_cluster_title_token_jaccard,collision_status,disposition,searchatlas_record_status,externally_published,publication_state,meta_robots,notes
11,MRX1000-PILOT-001-11,tax-1031-legal-education,261161,1031 Exchange Basics,1031 Exchange Process Explained,1031 Exchange Steps for Mineral Rights Sellers,1031-exchange-steps-for-mineral-rights-sellers,https://mineralrightsxchange.com/blog/1031-exchange-steps-for-mineral-rights-sellers/,src/content/posts/1031-exchange-steps-for-mineral-rights-sellers.mdx,1031 exchange steps for mineral rights sellers,true,true,1031-exchange-rules-for-mineral-rights-owners,0.4000,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
12,MRX1000-PILOT-001-12,tax-1031-legal-education,261161,1031 Exchange Basics,1031 Exchange Rules for Landowners,1031 Exchange Rules for Mineral Rights Owners,1031-exchange-rules-for-mineral-rights-owners,https://mineralrightsxchange.com/blog/1031-exchange-rules-for-mineral-rights-owners/,src/content/posts/1031-exchange-rules-for-mineral-rights-owners.mdx,1031 exchange rules for mineral rights owners,true,true,documents-needed-for-a-mineral-rights-1031-exchange,0.4000,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
13,MRX1000-PILOT-001-13,title-lease-ownership-documents,261162,Understanding Title Ownership,Mineral Rights Title Explained,Mineral Rights Title Ownership Explained,mineral-rights-title-ownership-explained,https://mineralrightsxchange.com/blog/mineral-rights-title-ownership-explained/,src/content/posts/mineral-rights-title-ownership-explained.mdx,mineral rights title ownership explained,true,true,how-mineral-rights-ownership-works,0.3333,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
14,MRX1000-PILOT-001-14,title-lease-ownership-documents,261162,Understanding Title Ownership,Understanding Mineral Rights Ownership,How Mineral Rights Ownership Works,how-mineral-rights-ownership-works,https://mineralrightsxchange.com/blog/how-mineral-rights-ownership-works/,src/content/posts/how-mineral-rights-ownership-works.mdx,how mineral rights ownership works,true,true,mineral-rights-title-ownership-explained,0.3333,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
15,MRX1000-PILOT-001-15,title-lease-ownership-documents,261162,Understanding Title Ownership,Mineral Lease Interpretations,How to Read Key Terms in a Mineral Lease,how-to-read-key-terms-in-a-mineral-lease,https://mineralrightsxchange.com/blog/how-to-read-key-terms-in-a-mineral-lease/,src/content/posts/how-to-read-key-terms-in-a-mineral-lease.mdx,how to read key terms in a mineral lease,true,true,mineral-rights-title-ownership-explained,0.0000,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
16,MRX1000-PILOT-001-16,title-lease-ownership-documents,261162,Understanding Title Ownership,Benefits of Title Ownership in Minerals,Why Clear Mineral Title Matters Before a Sale,why-clear-mineral-title-matters-before-a-sale,https://mineralrightsxchange.com/blog/why-clear-mineral-title-matters-before-a-sale/,src/content/posts/why-clear-mineral-title-matters-before-a-sale.mdx,why clear mineral title matters before a sale,true,true,mineral-rights-title-ownership-explained,0.2000,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
17,MRX1000-PILOT-001-17,texas-county-basin-local-intent,261163,Assessing Mineral Production,Evaluating Mineral Production in Texas,How to Evaluate Mineral Production in Texas,how-to-evaluate-mineral-production-in-texas,https://mineralrightsxchange.com/blog/how-to-evaluate-mineral-production-in-texas/,src/content/posts/how-to-evaluate-mineral-production-in-texas.mdx,how to evaluate mineral production in texas,true,true,understanding-texas-mineral-production-rates,0.3333,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
18,MRX1000-PILOT-001-18,texas-county-basin-local-intent,261163,Assessing Mineral Production,How to Assess Mineral Production,Understanding Texas Mineral Production Rates,understanding-texas-mineral-production-rates,https://mineralrightsxchange.com/blog/understanding-texas-mineral-production-rates/,src/content/posts/understanding-texas-mineral-production-rates.mdx,understanding texas mineral production rates,true,true,how-to-evaluate-mineral-production-in-texas,0.3333,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
19,MRX1000-PILOT-001-19,texas-county-basin-local-intent,261163,Assessing Mineral Production,Mineral Production Reports for Texas,How to Read Texas Mineral Production Reports,how-to-read-texas-mineral-production-reports,https://mineralrightsxchange.com/blog/how-to-read-texas-mineral-production-reports/,src/content/posts/how-to-read-texas-mineral-production-reports.mdx,how to read texas mineral production reports,true,true,how-to-evaluate-mineral-production-in-texas,0.2500,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
20,MRX1000-PILOT-001-20,offer-review-buyer-comparison-safety,261164,Understanding Offer Comparisons,Mineral Rights Offer Analysis Process,How a Mineral Rights Offer Analysis Works,how-mineral-rights-offer-analysis-works,https://mineralrightsxchange.com/blog/how-mineral-rights-offer-analysis-works/,src/content/posts/how-mineral-rights-offer-analysis-works.mdx,how a mineral rights offer analysis works,true,true,hidden-terms-in-a-mineral-rights-offer,0.1667,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
21,MRX1000-PILOT-001-21,offer-review-buyer-comparison-safety,261164,Understanding Offer Comparisons,Comparing Mineral Rights Purchase Offers,Key Factors When Comparing Mineral Purchase Offers,key-factors-comparing-mineral-purchase-offers,https://mineralrightsxchange.com/blog/key-factors-comparing-mineral-purchase-offers/,src/content/posts/key-factors-comparing-mineral-purchase-offers.mdx,key factors when comparing mineral purchase offers,true,true,how-mineral-rights-offer-analysis-works,0.0000,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
22,MRX1000-PILOT-001-22,offer-review-buyer-comparison-safety,261164,Understanding Offer Comparisons,Hidden Facts in Mineral Rights Offers,Hidden Terms to Check in a Mineral Rights Offer,hidden-terms-in-a-mineral-rights-offer,https://mineralrightsxchange.com/blog/hidden-terms-in-a-mineral-rights-offer/,src/content/posts/hidden-terms-in-a-mineral-rights-offer.mdx,hidden terms to check in a mineral rights offer,true,true,how-mineral-rights-offer-analysis-works,0.1667,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
23,MRX1000-PILOT-001-23,offer-review-buyer-comparison-safety,261164,Understanding Offer Comparisons,Best Practices for Mineral Rights Evaluations,A Practical Mineral Rights Offer Comparison Checklist,mineral-rights-offer-comparison-checklist,https://mineralrightsxchange.com/blog/mineral-rights-offer-comparison-checklist/,src/content/posts/mineral-rights-offer-comparison-checklist.mdx,a practical mineral rights offer comparison checklist,true,true,how-mineral-rights-offer-analysis-works,0.1667,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
24,MRX1000-PILOT-001-24,valuation-methodology-drivers,261165,Valuation Process Overview,Mineral Rights Market Analysis,How Mineral Rights Market Analysis Supports Valuation,mineral-rights-market-analysis-valuation,https://mineralrightsxchange.com/blog/mineral-rights-market-analysis-valuation/,src/content/posts/mineral-rights-market-analysis-valuation.mdx,how mineral rights market analysis supports valuation,true,true,factors-that-affect-mineral-rights-value,0.0000,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
25,MRX1000-PILOT-001-25,valuation-methodology-drivers,261165,Valuation Process Overview,Factors Affecting Mineral Rights Value,Factors That Affect Mineral Rights Value,factors-that-affect-mineral-rights-value,https://mineralrightsxchange.com/blog/factors-that-affect-mineral-rights-value/,src/content/posts/factors-that-affect-mineral-rights-value.mdx,factors that affect mineral rights value,true,true,mineral-rights-market-analysis-valuation,0.0000,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
